ID,FK_ID,ChildNodeID,value
72951,11394,10375,30
72952,11394,10322,22
72953,11395,10281,100
72954,11396,10380,100
72955,11397,10375,100
72956,11398,10361,100
72957,11399,10252,1
72958,11399,10392,2
72959,11399,10162,2
72960,11399,10028,2
72961,11399,10017,2
72962,11399,10006,3
72963,11399,10022,13
72964,11399,10019,3
72965,11399,10008,4
72966,11399,10161,3
72967,11399,10057,2
72968,11399,10169,3
72969,11399,11276,10
72970,11399,10721,1
72971,11399,10166,1
72972,11399,10032,19
72973,11399,10103,5
72974,11399,10338,4
72975,11399,10163,3
72976,11399,10357,4
72977,11399,10070,1
72978,11399,10007,6
72979,11399,10144,4
72980,11399,10177,1
72981,11400,12141,1
72982,11400,11972,2
72983,11400,10392,2
72984,11400,10258,2
72985,11400,10657,4
72986,11400,10028,4
72987,11400,10252,1
72988,11400,10006,2
72989,11400,11971,2
72990,11400,10022,5
72991,11400,10019,7
72992,11400,10008,2
72993,11400,10161,1
72994,11400,10057,3
72995,11400,11276,7
72996,11400,10147,2
72997,11400,10032,16
72998,11400,10144,3
72999,11400,10338,2
73000,11400,10163,2
73001,11400,10357,2
73002,11400,10070,1
73003,11400,10264,1
73004,11400,10007,3
73005,11401,10330,100
73006,11402,10281,100
73007,11403,10446,42
73008,11403,10438,58
73009,11404,10446,100
73010,11405,10330,14
73011,11405,10332,14
73012,11405,10430,22
73013,11405,10429,18
73014,11405,10436,31
73015,11405,10278,1
73016,11406,10281,3
73017,11406,10283,71
73018,11406,10383,11
73019,11406,10432,2
73020,11406,10431,10
73021,11406,10438,1
73022,11406,10430,2
73023,11407,10430,100
73024,11408,10454,1
73025,11408,10009,1
73026,11408,10028,1
73027,11408,10162,1
73028,11408,10006,1
73029,11408,10022,17
73030,11408,10019,5
73031,11408,10008,3
73032,11408,10161,1
73033,11408,10057,2
73034,11408,10169,1
73035,11408,11276,28
73036,11408,10032,14
73037,11408,10103,3
73038,11408,10338,2
73039,11408,10163,6
73040,11408,10070,1
73041,11408,10130,2
73042,11408,10007,6
73043,11408,10144,3
73044,11409,10022,6
73045,11409,10028,2
73046,11409,11276,24
73047,11409,10070,1
73048,11409,10264,3
73049,11409,10032,13
73050,11409,11971,1
73051,11409,10008,2
73052,11409,10144,2
73053,11409,10163,3
73054,11409,10019,13
73055,11409,11972,1
73056,11409,10130,1
73057,11409,10657,2
73058,11409,10057,2
73059,11409,10147,1
73060,11409,10007,3
73061,11410,10361,100
73062,11411,10022,22
73063,11411,10583,2
73064,11411,10162,2
73065,11411,10028,2
73066,11411,10006,2
73067,11411,10019,4
73068,11411,10008,2
73069,11411,10161,2
73070,11411,10057,3
73071,11411,11276,19
73072,11411,10166,1
73073,11411,10032,16
73074,11411,10103,3
73075,11411,10338,3
73076,11411,10163,8
73077,11411,10070,2
73078,11411,10007,5
73079,11411,10144,4
73080,11412,10028,3
73081,11412,11972,3
73082,11412,10657,3
73083,11412,12141,1
73084,11412,10583,1
73085,11412,10006,1
73086,11412,11971,1
73087,11412,10022,7
73088,11412,10019,14
73089,11412,10008,2
73090,11412,10057,3
73091,11412,11276,15
73092,11412,11992,1
73093,11412,10147,2
73094,11412,10032,15
73095,11412,10144,3
73096,11412,10338,1
73097,11412,10163,5
73098,11412,10070,1
73099,11412,10264,2
73100,11412,10007,2
73101,11413,10383,100
73102,11414,10022,30
73103,11414,10583,1
73104,11414,10162,2
73105,11414,10028,2
73106,11414,10006,2
73107,11414,10019,6
73108,11414,10008,2
73109,11414,10057,3
73110,11414,11276,6
73111,11414,10166,1
73112,11414,10032,19
73113,11414,10103,4
73114,11414,10338,3
73115,11414,10163,7
73116,11414,10357,2
73117,11414,10070,2
73118,11414,10007,4
73119,11414,10144,4
73120,11415,10006,1
73121,11415,11972,2
73122,11415,10657,3
73123,11415,12141,1
73124,11415,10028,3
73125,11415,11971,1
73126,11415,10022,8
73127,11415,10019,21
73128,11415,10008,2
73129,11415,10057,3
73130,11415,11276,4
73131,11415,10147,2
73132,11415,10032,17
73133,11415,10144,3
73134,11415,10338,1
73135,11415,10163,5
73136,11415,10357,1
73137,11415,10070,2
73138,11415,10264,3
73139,11415,10007,2
73140,11416,10281,100
73141,11417,10361,100
73142,11418,10375,100
73143,11419,10019,6
73144,11419,10162,2
73145,11419,10028,2
73146,11419,10006,2
73147,11419,10022,25
73148,11419,10008,3
73149,11419,10161,2
73150,11419,10057,3
73151,11419,11276,9
73152,11419,10166,1
73153,11419,10032,17
73154,11419,10103,4
73155,11419,10338,3
73156,11419,10163,9
73157,11419,10070,2
73158,11419,10007,6
73159,11419,10144,4
73160,11420,10006,1
73161,11420,11972,2
73162,11420,10657,3
73163,11420,12141,1
73164,11420,10028,3
73165,11420,11971,1
73166,11420,10022,8
73167,11420,10019,18
73168,11420,10008,2
73169,11420,10057,3
73170,11420,11276,7
73171,11420,11992,1
73172,11420,10147,2
73173,11420,10032,16
73174,11420,10144,3
73175,11420,10338,1
73176,11420,10163,5
73177,11420,10070,2
73178,11420,10264,3
73179,11420,10007,3
73180,11421,10282,95
73181,11421,10379,5
73182,11422,10380,88
73183,11422,10283,12
73184,11423,10281,4
73185,11423,10283,96
73186,11424,10281,34
73187,11424,10325,4
73188,11424,10283,62
73189,11425,10281,100
73190,11426,10383,100
73191,11427,10446,100
73192,11428,10283,84
73193,11428,10446,1
73194,11428,10323,1
73195,11428,10281,14
73196,11429,10446,100
73197,11430,10252,1
73198,11430,10173,1
73199,11430,10162,2
73200,11430,10028,3
73201,11430,10017,2
73202,11430,10006,2
73203,11430,10022,24
73204,11430,10019,7
73205,11430,10008,4
73206,11430,10161,1
73207,11430,10057,2
73208,11430,10169,1
73209,11430,11276,6
73210,11430,10032,16
73211,11430,10103,4
73212,11430,10338,3
73213,11430,10163,9
73214,11430,10070,2
73215,11430,10264,1
73216,11430,10007,4
73217,11430,10144,3
73218,11431,10028,100
73219,11432,10006,1
73220,11432,11972,1
73221,11432,10657,3
73222,11432,12141,1
73223,11432,10028,4
73224,11432,11971,2
73225,11432,10022,7
73226,11432,10019,19
73227,11432,10008,3
73228,11432,10057,3
73229,11432,11276,4
73230,11432,11992,1
73231,11432,10147,2
73232,11432,10032,14
73233,11432,10144,3
73234,11432,10338,1
73235,11432,10163,5
