Z_PK,Z_ENT,Z_OPT,ZATTRS,ZISHOTSPOT,ZISKNOWNGOOD,ZISLOWINTERNETDL,ZISLOWINTERNETUL,ZKIND,ZWASLASTFAILED,ZFIRSTTIMESTAMP,ZOVERALLSTAYMEAN,ZOVERALLSTAYVAR,ZTIMESTAMP,ZVELO,ZIDENTIFIER,ZSERVICE,ZNETSIGNATURE
33,10,24,259,,0,,,2,,607320000,13.383702388176552,446.73029035588695,608616000,0.0,Carrier-18934273,,b'c1dc6fe5111c8dc4-3e8d881'
34,10,24,259,,1,,,2,,607320000,52.175350815057755,11325.256380403845,608616000,0.0,Carrier-18934279,,b'c1dc6fe5111c8dc4-3e8d881'
35,10,22,259,,1,,,2,,607406400,152.95189066727957,21994.52657880141,607752000,0.0,Carrier-19406339,,b'c1dc6fe5111c8dc4-3e8d881'
36,10,18,259,,1,,,2,,607406400,0.0,0.0,607406400,0.0,Carrier-19406337,,b'c1dc6fe5111c8dc4-3e8d881'
37,10,21,259,,1,,,2,,607406400,55.88219976425171,3842.893290050186,607665600,0.0,Carrier-19686915,,b'c1dc6fe5111c8dc4-3e8d881'
38,10,21,259,,1,,,2,,607406400,24.883727886460044,215.91489425600994,607665600,0.0,Carrier-19406338,,b'c1dc6fe5111c8dc4-3e8d881'
39,10,22,259,,1,,,2,,607406400,454.37521398067474,111618.19899786939,607665600,0.0,Carrier-19686914,,b'c1dc6fe5111c8dc4-3e8d881'
40,10,21,259,,1,,,2,,607406400,29.370092170579092,729.5350903485504,607665600,0.0,Carrier-17175041,,b'c1dc6fe5111c8dc4-3e8d881'
41,10,17,259,,1,,,2,,607406400,0.0,0.0,607406400,0.0,Carrier-17143811,,b'c1dc6fe5111c8dc4-3e8d881'
42,10,16,259,,1,,,2,,607665600,140.8056669831276,1704.990580079735,607752000,0.0,Carrier-18934274,,b'c1dc6fe5111c8dc4-3e8d881'
43,10,7,259,,1,,,2,,608270400,0.844060480594635,0.6408670265387357,608270400,0.0,Carrier-18992130,,b'c1dc6fe5111c8dc4-3e8d881'
44,10,7,259,,1,,,2,,608270400,0.0,0.0,608270400,0.0,Carrier-195001871,,b'c1dc6fe5111c8dc4-3e8d881'
45,10,3,259,,1,,,2,,608616000,0.0,0.0,608616000,0.0,Carrier-39836676,,b'c1dc6fe5111c8dc4-3e8d881'
