ID,timestamp,AvgBacklightNits,AvgLogicalBrightnessNits,BlueLightReductionOffTime,BlueLightReductionOnTime
2531,1587037440.3549092,,,0.4888367083333334,0.0
2532,1587037440.5594962,41.43360900878906,41.43360900878906,,
2533,1587037451.1186004,,,10.089610625000002,0.0
2534,1587037451.2998233,107.15030670166016,107.15030670166016,,
2535,1587037768.23527,86.9552001953125,86.9552001953125,,
2536,1587037768.2416382,,,300.0008517916667,0.0
2537,1587038015.9185271,88.8728256225586,88.8728256225586,,
2538,1587038015.9674592,,,247.66552004166672,0.0
2539,1587038316.782442,98.1754379272461,98.1754379272461,,
2540,1587038316.787416,,,300.0468146250001,0.0
2541,1587038616.668004,99.49893951416016,99.49893951416016,,
2542,1587038616.672205,,,299.9542843333334,0.0
2543,1587038916.6711802,,,300.00000529166675,0.0
2544,1587038916.6743302,100.19410705566406,100.19410705566406,,
2545,1587039216.6769753,100.48841094970703,100.48841094970703,,
2546,1587039216.678774,,,299.9996728333334,0.0
2547,1587039516.687597,109.7883071899414,109.7883071899414,,
2548,1587039516.6941042,,,300.00147229166674,0.0
2549,1587039746.858025,,,230.14107395833338,0.0
2550,1587039747.0533853,104.24466705322266,104.24466705322266,,
2551,1587043810.8326192,105.34268188476562,105.34268188476562,,
2552,1587043810.838148,,,300.00084912500006,0.0
2553,1587044110.8390431,104.56790161132812,104.56790161132812,,
2554,1587044110.8457992,,,299.9998942083334,0.0
2555,1587044410.8513641,100.23308563232422,100.23308563232422,,
2556,1587044410.8587103,,,300.0000438750001,0.0
2557,1587044710.858483,106.25888061523438,106.25888061523438,,
2558,1587044710.8664942,,,300.0001050833334,0.0
2559,1587045010.870256,102.98526000976562,102.98526000976562,,
2560,1587045010.8771992,,,299.9999459583334,0.0
2561,1587045071.6771002,104.09524536132812,104.09524536132812,,
2562,1587045071.7451482,,,60.797199958333344,0.0
2563,1587045091.893948,94.52117919921875,94.52117919921875,,
2564,1587045091.944235,,,18.85730179166667,0.0
2565,1587045392.6041641,103.89545440673828,103.89545440673828,,
2566,1587045392.610387,,,300.0009462083334,0.0
2567,1587045514.689872,,,122.06036341666669,0.0
2568,1587045514.8720021,103.8794174194336,103.8794174194336,,
2569,1587045528.478602,,,8.493034125000001,0.0
2570,1587045528.671982,97.62966918945312,97.62966918945312,,
2571,1587050936.015892,,,0.4622821250000001,0.0
2572,1587050936.195264,64.21701049804688,64.21701049804688,,
2573,1587050946.5470521,,,10.047065708333335,0.0
2574,1587050946.7374582,107.73173522949219,107.73173522949219,,
2575,1587051125.503329,,,2.568236041666667,0.0
2576,1587051125.681188,94.7416000366211,94.7416000366211,,
2577,1587051138.099646,,,3.0857923750000005,0.0
2578,1587051138.282891,95.02606964111328,95.02606964111328,,
2579,1587051439.01799,312.6404724121094,312.6404724121094,,
2580,1587051439.02094,,,300.00093025000007,0.0
2581,1587051739.019731,237.9824981689453,237.9824981689453,,
2582,1587051739.021697,,,299.9994417500001,0.0
2583,1587052039.030089,104.0583267211914,104.0583267211914,,
2584,1587052039.030707,,,300.0003523333334,0.0
2585,1587052726.853964,101.23152160644531,101.23152160644531,,
2586,1587052726.860862,,,300.0010840833334,0.0
2587,1587053026.8796241,105.58627319335938,105.58627319335938,,
2588,1587053026.880778,,,299.99998350000004,0.0
2589,1587053326.869564,104.61332702636719,104.61332702636719,,
2590,1587053326.87922,,,300.0000845833334,0.0
2591,1587053626.8778253,104.76189422607422,104.76189422607422,,
2592,1587053626.8875132,,,299.9999987083334,0.0
2593,1587053926.8900561,104.76189422607422,104.76189422607422,,
2594,1587053926.898158,,,300.0000280833334,0.0
2595,1587054226.898075,104.76189422607422,104.76189422607422,,
2596,1587054226.907608,,,299.99995554166674,0.0
2597,1587054526.910473,104.76189422607422,104.76189422607422,,
2598,1587054526.9192932,,,300.00006366666673,0.0
2599,1587054826.9201922,106.16191101074219,106.16191101074219,,
2600,1587054826.928382,,,299.9997645416667,0.0
2601,1587055126.926723,118.86708068847656,118.86708068847656,,
2602,1587055126.9371552,,,300.0001576666667,0.0
2603,1587055426.9356291,126.28571319580078,126.28571319580078,,
2604,1587055426.94478,,,300.00004891666674,0.0
2605,1587055726.946332,126.28571319580078,126.28571319580078,,
2606,1587055726.9558692,,,299.9998590000001,0.0
2607,1587056026.953865,126.28571319580078,126.28571319580078,,
2608,1587056026.9631882,,,300.0000661666667,0.0
2609,1587056326.9624753,126.28571319580078,126.28571319580078,,
2610,1587056326.9716902,,,299.99997737500007,0.0
2611,1587056626.9744143,126.28571319580078,126.28571319580078,,
2612,1587056626.983809,,,300.00012429166674,0.0
2613,1587056926.9829552,126.28571319580078,126.28571319580078,,
2614,1587056926.9929771,,,299.9999864583334,0.0
2615,1587057226.992494,118.86076354980469,118.86076354980469,,
2616,1587057227.0031052,,,300.0000954583334,0.0
2617,1587057526.9994922,101.42858123779297,101.42858123779297,,
2618,1587057527.0084372,,,299.99979462500005,0.0
2619,1587057827.0090191,101.42858123779297,101.42858123779297,,
2620,1587057827.018311,,,299.99999612500005,0.0
2621,1587058127.017923,101.42858123779297,101.42858123779297,,
2622,1587058127.027357,,,300.0000145833334,0.0
