ID,timestamp,ClientAdvDuration_0,ClientAdvDuration_1,ClientAdvDuration_2,ClientAdvDuration_3,ClientAdvDuration_4,ClientAdvDuration_5,ClientAdvDuration_6,ClientAdvDuration_7,ClientAdvDuration_8,ClientAdvDuration_9,ClientAdvDuration_10,ClientAdvDuration_11,ClientAdvDuration_12,ClientAdvDuration_13,ClientAdvDuration_14,ClientAdvDuration_15,ClientAdvDuration_16,ClientAdvDuration_17,ClientAdvDuration_18,ClientScanConfig_0,ClientScanConfig_1,ClientScanConfig_2,ClientScanConfig_3,ClientScanConfig_4,ClientScanConfig_5,ClientScanConfig_6,ClientScanConfig_7,ClientScanConfig_8,ClientScanConfig_9,ClientScanConfig_10,ClientScanConfig_11,ClientScanConfig_12,ClientScanConfig_13,ClientScanConfig_14,ClientScanConfig_15,ClientScanConfig_16,ClientScanConfig_17,ClientScanConfig_18,ClientScanDuration_0,ClientScanDuration_1,ClientScanDuration_2,ClientScanDuration_3,ClientScanDuration_4,ClientScanDuration_5,ClientScanDuration_6,ClientScanDuration_7,ClientScanDuration_8,ClientScanDuration_9,ClientScanDuration_10,ClientScanDuration_11,ClientScanDuration_12,ClientScanDuration_13,ClientScanDuration_14,ClientScanDuration_15,ClientScanDuration_16,ClientScanDuration_17,ClientScanDuration_18
376,1586983970.0986872,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,178395,0,0,0,0,0,0,0,0,0,4,7,0,0,0,205,0,0,3771,2,0,6,0,0,0,0,0,12061,0,12071,0,10917,0,0,11775,0,0,174625,12077,0,11696
377,1586985562.7366443,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,179987,0,0,0,0,0,0,0,0,0,4,7,0,0,0,205,0,0,3771,2,0,6,0,0,0,0,0,12071,0,12082,0,10927,0,0,11775,0,0,176218,12087,0,11696
378,1586988677.129097,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,183101,0,0,0,0,0,0,0,0,0,4,7,0,0,0,205,0,0,3775,2,0,6,0,0,0,0,0,12081,0,12092,0,10937,0,0,11775,0,0,179327,12098,0,11696
379,1586998537.6947103,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,192962,0,0,0,0,0,0,0,0,0,4,7,0,0,0,217,0,0,3819,2,0,6,0,0,0,0,0,12141,0,12151,0,10997,0,0,11823,0,0,189144,12157,0,11737
380,1587034051.8327441,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,228287,0,0,0,0,0,0,0,0,0,4,7,0,0,0,221,0,0,3834,4,0,6,0,0,0,0,0,12162,0,12172,0,11018,0,0,11839,0,0,224642,12176,0,11737
381,1587037367.843815,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,231602,0,0,0,0,0,0,0,0,0,4,7,0,0,0,226,0,0,3842,4,0,6,0,0,0,0,0,12174,0,12184,0,11030,0,0,11846,0,0,227949,12188,0,11737
382,1587039752.629182,0,0,0,0,0,42,0,0,2,0,0,0,62,0,0,0,233986,0,0,0,0,0,0,0,0,0,4,40,0,0,0,245,0,0,4809,6,0,6,0,0,0,0,0,14440,0,14451,0,11496,0,0,14092,0,0,229335,14452,0,13980
383,1587043516.3398042,0,0,0,0,0,42,0,0,2,0,0,0,62,0,0,0,237749,0,0,0,0,0,0,0,0,0,4,40,0,0,0,245,0,0,4809,6,0,6,0,0,0,0,0,14440,0,14451,0,11496,0,0,14092,0,0,233098,14457,0,13980
384,1587045077.2420151,0,0,0,0,0,42,0,0,2,0,0,0,72,0,0,0,239310,0,0,0,0,0,0,0,0,0,4,40,0,0,0,250,0,0,5527,6,0,6,0,0,0,0,0,16001,0,16011,0,11496,0,0,15648,0,0,233941,16017,0,15537
385,1587050941.055277,0,0,0,0,0,42,0,0,2,0,0,0,78,0,0,0,245174,0,0,0,0,0,0,0,0,0,4,40,0,0,0,250,0,0,5691,10,0,6,0,0,0,0,0,16451,0,16461,0,11496,0,0,16089,0,0,239640,16464,0,15983
