Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
60,9,143,0,0,0,60,13,508.0,,0.0,606520167.427791,11253808.0,1189729.0,0.0,0.0,110492.0,29970.0,0.0,0.0
61,9,1,0,0,0,61,13,2.0,,0.0,606520168.615691,0.0,0.0,0.0,0.0,10558.0,4006.0,0.0,0.0
62,9,149,0,0,0,62,13,269.0,,0.0,606520172.385949,48876854.0,1906263.0,0.0,0.0,884889.0,176532.0,0.0,0.0
63,9,88,0,0,0,63,13,222.0,,0.0,606520173.139761,221692.0,149048.0,0.0,0.0,19903.0,21328.0,0.0,0.0
64,9,284,1,0,0,64,14,46.0,,0.0,606520176.060417,238922.0,49020.0,0.0,0.0,169968.0,36193.0,0.0,0.0
65,9,1095,0,0,0,65,13,7422.0,,0.0,606520176.062043,454879979.0,41248004.0,0.0,0.0,6966534.0,764419.0,0.0,0.0
66,9,33,1,0,0,66,14,161.0,,0.0,606520179.785798,1245874.0,317028.0,0.0,0.0,195657.0,54669.0,0.0,0.0
67,9,5,1,0,0,67,14,13.0,,0.0,606520181.387042,0.0,0.0,0.0,0.0,189330.0,18844.0,0.0,0.0
68,9,254,1,0,0,68,14,1299.0,,0.0,606520181.389614,4242006.0,1561731.0,0.0,0.0,343934.0,157351.0,0.0,0.0
69,9,44,0,0,0,69,13,218.0,,0.0,606520203.068326,1052711.0,327438.0,0.0,0.0,67115.0,26248.0,0.0,0.0
70,9,89,1,0,0,70,14,176.0,,0.0,606520209.543306,656401.0,205078.0,0.0,0.0,563302.0,166446.0,0.0,0.0
71,9,2,0,0,0,71,13,2.0,,0.0,606520218.601883,5697.0,2227.0,0.0,0.0,5990.0,2395.0,0.0,0.0
72,9,756,0,0,0,72,13,2804.0,,0.0,606520231.546835,795938.0,606384.0,0.0,0.0,160962.0,107720.0,0.0,0.0
73,9,2,1,0,0,73,14,21.0,,0.0,606520382.767046,0.0,0.0,0.0,0.0,437905.0,57320.0,0.0,0.0
74,9,2,1,0,0,74,14,13.0,,0.0,606520482.804471,0.0,0.0,0.0,0.0,47480.0,10422.0,0.0,0.0
75,9,2,1,0,0,75,14,7.0,,0.0,606520692.433373,0.0,0.0,0.0,0.0,96373.0,107515.0,0.0,0.0
76,9,17,0,0,0,76,13,16.0,,0.0,606520995.263826,160708.0,111329.0,0.0,0.0,74029.0,72692.0,0.0,0.0
77,9,49,0,0,0,77,13,103.0,,0.0,606521814.958468,425957.0,188739.0,0.0,0.0,9199.0,3734.0,0.0,0.0
78,9,3,0,0,0,78,13,5.0,,0.0,606524574.488334,644.0,9833.0,0.0,0.0,4698.0,3088.0,0.0,0.0
79,9,11,0,0,0,79,13,6.0,,0.0,606524574.503487,47731.0,16306.0,0.0,0.0,31650.0,9793.0,0.0,0.0
