ROWID,message_id,remote_id,document_id,sender,subject_prefix,subject,summary,date_sent,date_received,mailbox,remote_mailbox,flags,read,flagged,deleted,size,conversation_id,date_last_viewed,original_mailbox,visible,sender_vip,encoding,content_type,sequence_identifier,external_id,unique_id,content_index_transaction_id,list_id_hash,journaled,flag_color,searchable_message
105,528179220946406211,365,,19,,29,14.0,1582856415,1582856416,3,3,549756075009,1,0,0,76447,528179220946406211,,3,1,0,,6,53303,3A8AD121-1CA0-4B24-8786-677FE6657515,1659745249351930682,,-8708684574245157161,0,,105
106,5388601350215458880,366,,1,,1,31.0,1582893771,1582893772,3,3,549756075009,1,0,0,11182,5388601350215458880,,3,1,0,,6,53303,1A59DACF-E182-4C2A-9206-B74B73D1EC7B,1659784420289128941,,0,0,,106
107,-5444960464363896349,367,,20,,30,11.0,1583343773,1583343774,3,3,549756075009,1,0,0,23831,-5444960464363896349,,3,1,0,,6,53303,57CD7D83-C2B5-4402-9031-832B46D0BEED,1660256280969016740,,0,0,,107
108,-6119702193866042403,368,,21,,31,30.0,1583882713,1583882713,3,3,549756075009,1,0,0,82163,-6119702193866042403,,3,1,0,,6,53303,29EE4790-86BE-460E-B97E-E1D3C3AAE3C2,1660821400697999812,,-8708684574245157161,0,,108
109,2825417098659491495,369,,12,,32,5.0,1584055063,1584055064,3,3,549756075009,1,0,0,11368,2825417098659491495,,3,1,0,,1,53303,925690ED-3CA3-4CD6-A67B-60643C77C6A4,1661002122889312243,,0,0,,109
110,-2008545642577098051,370,,21,,33,28.0,1584141066,1584141067,3,3,549756075009,1,0,0,34580,-2008545642577098051,,3,1,0,,6,53303,E1FA6F22-4FBA-43DF-B4EA-90DAAACE22EC,1661092303644805488,,-8708684574245157161,0,,110
111,-6761738157535089717,371,,15,,22,2.0,1584464496,1584464497,3,3,549756011521,1,0,0,86989,-6761738157535089717,,3,1,0,,6,53303,D06992C9-472B-4036-9B2C-DB31AF5BF3E0,1661431444785183652,,0,0,,111
112,7165909412371320100,372,,22,,34,21.0,1584806741,1584806742,3,3,549756075009,1,0,0,18162,7165909412371320100,,3,1,0,,6,53303,E559AA5D-0D3E-4520-8FC5-2F350032368E,1661790315235445716,,0,0,,112
113,-2274667692839742103,373,,23,,35,38.0,1584827261,1584827261,3,3,549756075009,1,0,0,118608,-2274667692839742103,,3,1,0,,6,53303,75441193-4C38-4C08-9FAB-BDBAD268B212,1661811830494133183,,0,0,,113
114,7992755215600840278,374,,24,,36,19.0,1584827276,1584827276,3,3,549756075009,1,0,0,19426,7992755215600840278,,3,1,0,,6,53303,95ED4B59-75B2-4D31-BEE6-78E13B0B354D,1661811846196563337,,0,0,,114
115,-448395472253785828,375,,24,,37,36.0,1584827389,1584827389,3,3,549756075009,1,0,0,19620,-448395472253785828,,3,1,0,,6,53303,BB456533-052F-41E1-B338-48C77DFDE471,1661811965094221602,,0,0,,115
116,8782058183630853132,376,,25,,38,12.0,1584827981,1584827982,3,3,549756075009,1,0,0,19776,8782058183630853132,,3,1,0,,6,53303,2C6C5A01-6459-4DA1-9B96-984F45D1FC29,1661812586374737356,,0,0,,116
117,-269712480428455707,377,,24,,39,33.0,1584838274,1584838275,3,3,549756075009,1,0,0,19439,-269712480428455707,,3,1,0,,6,53303,4FAD27B0-A4B1-4565-AD3F-DABD176041C2,1661823379277793658,,0,0,,117
118,5137595835139976242,378,,1,,1,9.0,1584839484,1584839485,3,3,549756075009,1,0,0,11176,5137595835139976242,,3,1,0,,6,53303,2240C304-D143-4E1F-B642-E27E5F9F8EE5,1661824648179609419,,0,0,,118
119,-137932586374771158,379,,1,,1,27.0,1584839484,1584839485,3,3,549756075009,1,0,0,11036,-137932586374771158,,3,1,0,,6,53303,992C1A61-DC32-4904-97CD-4FDC3989617C,1661824648466891842,,0,0,,119
120,7987327653962252277,380,,1,,40,47.0,1584839551,1584839551,3,3,549756075009,1,0,0,37805,7987327653962252277,,3,1,0,,6,53303,B1380637-1222-425D-892F-6D931A163C43,1661824718036593058,,0,0,,120
121,7905211801942990563,381,,22,,44,53.0,1584839905,1584839905,3,3,549756075009,1,0,0,19179,7905211801942990563,,3,1,0,,6,53303,7B93588F-0C55-4F9A-964A-6CD6D7B2C9F7,1661825088828597299,,0,0,,121
122,-9195479158723952412,382,,26,,45,54.0,1584883309,1584883313,3,3,549756015617,1,0,0,5976295,-9195479158723952412,,3,1,0,,6,53303,0EC97BFF-B394-47BE-88BB-68B755A7D3EC,1661870605435565884,,0,0,,122
