id,startTime,activityType,isStanding,mets,natalies,basalNatalies,overrideSet,truthMets,sessionUUID
22686,608180495.5998087,0,0,0.9232040643692017,30625763,30197625,0,0.9232040643692017,
22687,608180505.8644855,1,0,0.9232041239738464,30625977,30197839,0,0.9232041239738464,
22688,608180516.1320262,0,0,0.9232040643692017,30626191,30198053,0,0.9232040643692017,
22689,608180526.3947868,1,0,0.9232041239738464,30626405,30198267,0,0.9232041239738464,
22690,608180608.519213,0,0,0.9232040643692017,30628124,30199986,0,0.9232040643692017,
22691,608180618.7867128,1,0,0.9232041239738464,30628338,30200200,0,0.9232041239738464,
22692,608180629.0509046,0,0,0.9232040643692017,30628552,30200414,0,0.9232040643692017,
22693,608180639.3181627,1,0,0.9232041239738464,30628766,30200628,0,0.9232041239738464,
22694,608180680.3767946,0,0,0.9232040643692017,30629625,30201487,0,0.9232040643692017,
22695,608180690.639834,1,0,0.9232041239738464,30629839,30201701,0,0.9232041239738464,
22696,608180783.0330939,0,0,0.9232040643692017,30631773,30203635,0,0.9232040643692017,
22697,608180793.3002138,1,0,0.9232041239738464,30631987,30203849,0,0.9232041239738464,
22698,608180803.5672945,0,0,0.9232040643692017,30632201,30204063,0,0.9232040643692017,
22699,608180813.8339506,1,0,0.9232041239738464,30632415,30204277,0,0.9232041239738464,
22700,608180885.6967275,0,0,0.9232040643692017,30633919,30205781,0,0.9232040643692017,
22701,608180895.9627059,1,0,0.9232041239738464,30634133,30205995,0,0.9232041239738464,
22702,608180978.1001184,0,0,0.9232040643692017,30635852,30207714,0,0.9232040643692017,
22703,608180988.3667033,1,0,0.9232041239738464,30636066,30207928,0,0.9232041239738464,
22704,608180998.6340295,1,0,0.9232041239738464,30636280,30208142,0,0.9232041239738464,
22705,608181008.9019725,0,0,0.9232040643692017,30636494,30208356,0,0.9232040643692017,
22706,608181019.1729639,1,0,0.9232041239738464,30636709,30208571,0,0.9232041239738464,
22707,608181080.7785162,0,0,0.9232040643692017,30637998,30209860,0,0.9232040643692017,
22708,608181091.0450839,1,0,0.9232041835784912,30638212,30210074,0,0.9232041835784912,
22709,608181162.9123483,0,0,0.9232040643692017,30639716,30211578,0,0.9232040643692017,
22710,608181173.1783324,1,0,0.9232041239738464,30639930,30211792,0,0.9232041239738464,
22711,608181214.2385194,0,0,0.9232040643692017,30640789,30212651,0,0.9232040643692017,
22712,608181224.500819,1,0,0.9232041239738464,30641003,30212865,0,0.9232041239738464,
22713,608181255.2881137,0,0,0.9232040643692017,30641647,30213509,0,0.9232040643692017,
22714,608181265.5502234,1,0,0.9232041239738464,30641861,30213723,0,0.9232041239738464,
22715,608181286.0754253,0,0,0.9232040643692017,30642290,30214152,0,0.9232040643692017,
22716,608181296.3391672,1,0,0.9232041239738464,30642504,30214366,0,0.9232041239738464,
22717,608181306.6034719,0,0,0.9232040643692017,30642718,30214580,0,0.9232040643692017,
22718,608181316.8681787,1,0,0.9232041239738464,30642932,30214794,0,0.9232041239738464,
22719,608181357.9268463,0,0,0.9232040643692017,30643791,30215653,0,0.9232040643692017,
22720,608181368.1952031,1,0,0.9232041835784912,30644005,30215867,0,0.9232041835784912,
22721,608181491.3960985,0,0,0.9232040643692017,30646584,30218446,0,0.9232040643692017,
22722,608181501.6649278,1,0,0.9232041239738464,30646799,30218661,0,0.9232041239738464,
22723,608181511.9306283,1,0,0.9232041239738464,30647013,30218875,0,0.9232041239738464,
22724,608181522.198228,0,0,0.9232040643692017,30647227,30219089,0,0.9232040643692017,
22725,608181532.4668342,1,0,0.9232041239738464,30647442,30219304,0,0.9232041239738464,
22726,608181542.7344704,1,0,0.9232041239738464,30647656,30219518,0,0.9232041239738464,
22727,608181624.8749534,0,0,0.9232040643692017,30649375,30221237,0,0.9232040643692017,
22728,608181635.1420754,1,0,0.9232041239738464,30649589,30221451,0,0.9232041239738464,
22729,608181665.9440929,0,0,0.9232040643692017,30650233,30222095,0,0.9232040643692017,
22730,608181676.2119459,1,0,0.9232041239738464,30650447,30222309,0,0.9232041239738464,
22731,608181686.4803877,1,0,0.9232041239738464,30650662,30222524,0,0.9232041239738464,
22732,608181789.1687444,0,0,0.9232040643692017,30652812,30224674,0,0.9232040643692017,
22733,608181799.437682,1,0,0.9232041239738464,30653027,30224889,0,0.9232041239738464,
22734,608181871.3299421,0,0,0.9232040643692017,30654532,30226394,0,0.9232040643692017,
22735,608181881.5994709,1,0,0.9232041239738464,30654747,30226609,0,0.9232041239738464,
22736,608181891.8671308,1,0,0.9232041239738464,30654961,30226823,0,0.9232041239738464,
22737,608181912.4087565,0,0,0.9232040643692017,30655391,30227253,0,0.9232040643692017,
22738,608181922.6803664,1,0,0.9232041239738464,30655606,30227468,0,0.9232041239738464,
22739,608181932.95128,0,0,0.9232040643692017,30655821,30227683,0,0.9232040643692017,
22740,608181943.2220957,1,0,0.9232041239738464,30656036,30227898,0,0.9232041239738464,
22741,608181974.0315678,0,0,0.9232040643692017,30656681,30228543,0,0.9232040643692017,
22742,608181984.3015088,1,0,0.9232041239738464,30656896,30228758,0,0.9232041239738464,
22743,608182066.4694722,0,0,0.9232040643692017,30658616,30230478,0,0.9232040643692017,
22744,608182076.7406466,1,0,0.9232041239738464,30658831,30230693,0,0.9232041239738464,
22745,608182117.8241218,0,0,0.9232040643692017,30659691,30231553,0,0.9232040643692017,
22746,608182128.0919833,1,0,0.9232041239738464,30659905,30231767,0,0.9232041239738464,
22747,608182199.9740623,0,0,0.9232040643692017,30661410,30233272,0,0.9232040643692017,
22748,608182210.2448739,1,0,0.9232041239738464,30661625,30233487,0,0.9232041239738464,
22749,608182282.139731,0,0,0.9232040643692017,30663130,30234992,0,0.9232040643692017,
22750,608182292.4102536,1,0,0.9232041239738464,30663345,30235207,0,0.9232041239738464,
22751,608182302.6826138,0,0,0.9232040643692017,30663560,30235422,0,0.9232040643692017,
22752,608182312.9540516,1,0,0.9232041239738464,30663775,30235637,0,0.9232041239738464,
22753,608182333.4952068,0,0,0.9232040643692017,30664205,30236067,0,0.9232040643692017,
22754,608182343.7652749,1,0,0.9232041239738464,30664420,30236282,0,0.9232041239738464,
