id,minlat,maxlat,minlong,maxlong
3460,33.0,33.5,-102.5,-102.0
3456,33.0,33.5,-102.0,-101.5
3457,33.0,33.5,-102.0,-101.5
3458,33.0,33.5,-102.0,-101.5
3455,33.0,33.5,-100.0,-99.5
3739,33.5,34.0,-102.5,-102.0
3740,33.5,34.0,-102.5,-102.0
3735,33.5,34.0,-102.0,-101.5
3736,33.5,34.0,-102.0,-101.5
3737,33.5,34.0,-102.0,-101.5
3738,33.5,34.0,-102.0,-101.5
3734,33.5,34.0,-101.5,-101.0
3741,33.5,34.0,-102.5,-102.0
3187,32.5,33.0,-103.0,-102.5
3186,32.5,33.0,-103.0,-102.5
2974,32.0,32.5,-103.0,-102.5
3188,32.5,33.0,-103.5,-103.0
2975,32.0,32.5,-104.0,-103.5
2976,32.0,32.5,-104.5,-104.0
3461,33.0,33.5,-105.0,-104.5
3462,33.0,33.5,-105.0,-104.5
5220,35.5,36.0,-102.0,-101.5
5219,35.5,36.0,-101.5,-101.0
5218,35.5,36.0,-101.0,-100.5
5217,35.5,36.0,-100.0,-99.5
4986,35.0,35.5,-99.5,-99.0
4987,35.0,35.5,-99.5,-99.0
4988,35.0,35.5,-99.5,-99.0
4985,35.0,35.5,-99.0,-98.5
4983,35.0,35.5,-98.5,-98.0
4984,35.0,35.5,-98.5,-98.0
4977,35.0,35.5,-98.0,-97.5
4978,35.0,35.5,-98.0,-97.5
4979,35.0,35.5,-98.0,-97.5
4980,35.0,35.5,-98.0,-97.5
4981,35.0,35.5,-98.0,-97.5
4982,35.0,35.5,-98.0,-97.5
5371,35.5,36.0,-98.0,-97.5
4975,35.0,35.5,-97.5,-97.0
4974,35.0,35.5,-97.5,-97.0
4973,35.0,35.5,-97.5,-97.0
4972,35.0,35.5,-97.5,-97.0
4976,35.0,35.5,-97.5,-97.0
5366,35.5,36.0,-97.5,-97.0
5367,35.5,36.0,-97.5,-97.0
5368,35.5,36.0,-97.5,-97.0
5369,35.5,36.0,-97.5,-97.0
5370,35.5,36.0,-97.5,-97.0
5675,36.0,36.5,-100.0,-99.5
5676,36.0,36.5,-101.0,-100.5
5677,36.0,36.5,-101.5,-101.0
5678,36.0,36.5,-102.0,-101.5
1671,29.0,29.5,-101.0,-100.5
1542,28.5,29.0,-101.0,-100.5
1275,27.5,28.0,-100.0,-99.5
1318,27.5,28.0,-99.5,-99.0
1317,27.5,28.0,-99.5,-99.0
1316,27.5,28.0,-99.5,-99.0
1315,27.5,28.0,-99.5,-99.0
1571,28.5,29.0,-99.0,-98.5
1570,28.5,29.0,-98.5,-98.0
1314,27.5,28.0,-98.5,-98.0
1445,28.0,28.5,-98.0,-97.5
1313,27.5,28.0,-98.0,-97.5
1312,27.5,28.0,-98.0,-97.5
1311,27.5,28.0,-98.0,-97.5
1569,28.5,29.0,-97.5,-97.0
1568,28.5,29.0,-97.5,-97.0
1444,28.0,28.5,-97.5,-97.0
1443,28.0,28.5,-97.5,-97.0
1310,27.5,28.0,-97.5,-97.0
1309,27.5,28.0,-97.5,-97.0
1308,27.5,28.0,-97.5,-97.0
1307,27.5,28.0,-97.5,-97.0
1704,29.0,29.5,-98.5,-98.0
1705,29.0,29.5,-98.5,-98.0
1706,29.0,29.5,-98.5,-98.0
1707,29.0,29.5,-98.5,-98.0
1708,29.0,29.5,-99.0,-98.5
1709,29.0,29.5,-99.0,-98.5
1710,29.0,29.5,-99.0,-98.5
1711,29.0,29.5,-99.0,-98.5
839,25.5,26.0,-98.0,-97.5
838,25.5,26.0,-98.0,-97.5
837,25.5,26.0,-98.0,-97.5
836,25.5,26.0,-98.0,-97.5
835,25.5,26.0,-97.5,-97.0
834,25.5,26.0,-97.5,-97.0
833,25.5,26.0,-97.5,-97.0
832,25.5,26.0,-97.5,-97.0
943,26.0,26.5,-99.0,-98.5
944,26.0,26.5,-99.0,-98.5
939,26.0,26.5,-98.5,-98.0
940,26.0,26.5,-98.5,-98.0
941,26.0,26.5,-98.5,-98.0
942,26.0,26.5,-98.5,-98.0
938,26.0,26.5,-98.0,-97.5
935,26.0,26.5,-98.0,-97.5
936,26.0,26.5,-98.0,-97.5
937,26.0,26.5,-98.0,-97.5
931,26.0,26.5,-97.5,-97.0
932,26.0,26.5,-97.5,-97.0
933,26.0,26.5,-97.5,-97.0
934,26.0,26.5,-97.5,-97.0
1183,27.0,27.5,-99.5,-99.0
