ID,timestamp,timestampLogged,BBDate,C0TBSzArr_0,C0TBSzArr_1,C0TBSzArr_2,C0TBSzArr_3,C0TBSzArr_4,C0TBSzArr_5,C0TBSzArr_6,C0TBSzArr_7,C0TBSzArr_8,C0TBSzArr_9,C0TBSzArr_10,C0TBSzArr_11,C0TBSzArr_12,C0TBSzArr_13,C0TBSzArr_14,C0TBSzArr_15,C1TBSzArr_0,C1TBSzArr_1,C1TBSzArr_2,C1TBSzArr_3,C1TBSzArr_4,C1TBSzArr_5,C1TBSzArr_6,C1TBSzArr_7,C1TBSzArr_8,C1TBSzArr_9,C1TBSzArr_10,C1TBSzArr_11,C1TBSzArr_12,C1TBSzArr_13,C1TBSzArr_14,C1TBSzArr_15,CAFreqInfo_0,CAFreqInfo_1,CAFreqInfo_2,CAFreqInfo_3,CASCCStateArr_0,CASCCStateArr_1,CASCCStateArr_2,CASCCStateArr_3,DupMode,LogDuration,SeqNum,SleepStateArr_0,SleepStateArr_1,SleepStateArr_2,SleepStateArr_3,SleepStateArr_4,SleepStateArr_5,TxPwrBktArr_0,TxPwrBktArr_1,TxPwrBktArr_2,TxPwrBktArr_3,TxPwrBktArr_4,TxPwrBktArr_5,TxPwrBktArr_6,TxPwrBktArr_7,TxPwrBktArr_8,TxPwrBktArr_9,TxPwrBktArr_10,TxPwrBktArr_11,kRfActRxTxArr_0,kRfActRxTxArr_1,kRfActRxTxArr_2,kRfActRxTxArr_3,kRfActRxTxArr_4,kRfActRxTxArr_5
25347,1586916078.8506079,1586916335.36627,1586916049.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,178,0,0,0,178.0,216,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25348,1586916208.6416082,1586916335.372406,1586916179.436,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,4252567,0,0,0,4252567.0,244,0,259861,1670,0,0,3991114,4252567,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0
25349,1586916208.6476078,1586916335.377042,1586916179.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,173,0,0,0,173.0,245,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25350,1586916334.908608,1586916910.9916322,1586916305.703,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,4136890,0,0,0,4136890.0,2,0,181757,2359,0,0,3952831,4136890,0,0,0,0,0,0,0,0,0,0,0,0,1376,0,0,0,0
25351,1586916347.5116081,1586916910.9961662,1586916318.306,0,1474,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,412800,0,0,0,412800.0,9,0,122765,229,4816,1900,283108,394291,0,0,0,0,0,131,2031,458,14776,753,360,0,1048,17987,97866,491,0
25352,1586916567.8906078,1586916911.0336502,1586916538.685,0,3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,7220598,0,0,0,7220598.0,60,0,460649,2653,1736,0,6755698,7219715,0,0,0,0,0,98,524,98,65,98,0,0,3538,884,27554,0,0
25353,1586916686.006608,1586916911.0455582,1586916656.801,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,3870018,0,0,0,3870018.0,81,0,274209,5111,0,0,3590770,3870018,0,0,0,0,0,0,0,0,0,0,0,0,2588,0,0,0,0
25354,1586916686.0116081,1586916911.0558002,1586916656.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,146,0,0,0,146.0,82,0,1,0,0,0,145,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25355,1586916734.861608,1586916911.0605721,1586916705.656,0,1539,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,1600566,0,0,0,1600566.0,102,0,190840,0,12450,2817,1394534,1595524,0,0,0,0,0,32,3276,32,360,1343,0,0,1376,4816,111135,196,0
25356,1586916734.8726082,1586916911.063538,1586916705.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,353,0,0,0,353.0,103,0,0,0,0,0,352,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
