issuerNameHash,issuerPubKeyHash,serialNum,hashAlgorithm,responseId,certStatus
b'V\xc3\x06q(\x8co\x1b\xae\xc9$y\xe1\x1f\xd4\x0b\xf6\n\xfe\xa0',b'\xf7\xbe|!`\x91\xdb=\x1b{\xd8:2\x81i\xdf\x9el\x7f\x9b',b'j\x95\x1bF\xca\xc1p\xd7',b'+\x0e\x03\x02\x1a',670,0
"b""\xda\xaf\x17\xe6Z\xea\x808q\xe1Q.\xc0\x16\xc0B'\x8dHI""",b'1\xeav\xa9#t\xa5\xdf\xd4\xfd\xee\xa0\xc1\xa6\x9e\xc6\x11\x0e\x11\xec',b'9\x07A:\xd2ns\xbf',b'+\x0e\x03\x02\x1a',671,0
b'\xdf\xaa\x12\xe3(\xb1\tA\x93\xe2\x9fB\x82\xceG@B\x95X\xa3',b'\xb1>\xc3i\x03\xf8\xbfG\x01\xd4\x98&\x1a\x08\x02\xefcd+\xc3',b'\x04\xe1\xe7\xa4\xdc\\\xf2\xf3m\xc0+B\xb8]\x15\x9f',b'+\x0e\x03\x02\x1a',675,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\x0c\x1e\xeb\x86I0\xfd\xb9\xca\xbcWE\x9d\xaa^_',b'+\x0e\x03\x02\x1a',676,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\r\xf8\x0f\xd2\x14\x08\x13n27\xc5M\x8a\x8c_!',b'+\x0e\x03\x02\x1a',677,0
"b""\xda\xaf\x17\xe6Z\xea\x808q\xe1Q.\xc0\x16\xc0B'\x8dHI""",b'1\xeav\xa9#t\xa5\xdf\xd4\xfd\xee\xa0\xc1\xa6\x9e\xc6\x11\x0e\x11\xec',b'{\\\x92\xfdv\xc0\x1b\xee',b'+\x0e\x03\x02\x1a',680,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\x05#\xcd+\xeeg\x06\x88w-\xe9\xe8y\xd9H\t',b'+\x0e\x03\x02\x1a',681,0
b'\x00\xeb\x0c\xcc\xf4ql\xbaF#\xa3\xd5/\x98\xd4=\xf60\xa9\x1d',"b""\x88'\x17\t\xa9\xb6\x18`\x8b\xec\xeb\xba\xf6GY\xc5RT\xa3\xb7""",b'\x0e\xebW\x87\xe7\x9e\t\x8d',b'+\x0e\x03\x02\x1a',682,0
b'M\xfa\xe5\x08NB\x11\x99\xe4\xd6\xbdA\xff%\xa0\x9a\xe7\xe7`\x1c',b'\xd11\xd1\xcaQ\x11\x0f\xcd\xc9\x9b\xb53\xda\xb7\xce\xbeV\x845;',b'fL\xb5s\xd7\xe5=\xf7h\xeb\xde\x84\xf6M\xc7@',b'+\x0e\x03\x02\x1a',683,0
b'4=\xf9k\xa2\x06\x1f\xce8\x15\xec\xc0\x03\x17\xe4TPG0\x9b',b'\xbb\xb0\xde\xa1X3\x88\x9a\xa4\x8a\x99\xde\xbe\xbd\xeb\xaf\xda\xcb$\xab',b'[C\xa4\xc4wA\xcc\xec',b'+\x0e\x03\x02\x1a',684,0
