ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11545,1586919018.455608,1586919534.3053641,1586918989.25,2240,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 71dce6dd 423ae8dd ... 00000000 00000000 }",3722984002,3722894449,2733,3
11546,1586919761.448608,1586920144.339664,1586919732.243,1143,0,45452,0,0,"{length = 40, bytes = 0x03000000 0028b54b 430f5bdf 31af5bdf ... 00000000 00000000 }",3747327793,3747286851,1250,3
11547,1586919785.8396082,1586920144.345869,1586919756.634,3462,0,45452,131,1,"{length = 40, bytes = 0x03000000 01019c00 918d65df e3e067df ... 25000000 00000000 }",3748126947,3747974545,4652,3
11548,1586919928.908608,1586920144.3591251,1586919899.703,3222,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 d499addf cf67afdf ... 00000000 00000000 }",3752814543,3752696276,3610,3
11549,1586919939.9846082,1586920144.3606122,1586919910.779,2324,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 8d93b3df 5ff1b4df ... 00000000 00000000 }",3753177439,3753087885,2733,3
11550,1586919962.4106078,1586920144.36237,1586919933.205,10948,0,45452,0,0,"{length = 40, bytes = 0x03000000 00c44100 1e8abadf 7d27c0df ... 00000000 00000000 }",3753912189,3753544222,11231,3
11551,1586919974.8906078,1586920144.3681612,1586919945.685,5255,0,45452,84,1,"{length = 40, bytes = 0x03000000 01000000 d320c3df de64c6df ... 25000000 00000000 }",3754321118,3754107091,6532,3
11552,1586920625.441608,1586920782.563364,1586920596.236,2410,0,45452,0,0,"{length = 40, bytes = 0x03000000 0000ff7f 3e5d0ae1 6aa20be1 ... 00000000 00000000 }",3775636074,3775552830,2541,3
11553,1586920641.419608,1586920782.569354,1586920612.214,1908,0,45452,37,1,"{length = 40, bytes = 0x03000000 01000000 a16a12e1 7d9f13e1 ... 25000000 00000000 }",3776159613,3776080545,2413,3
11554,1586920781.6806078,1586920782.582263,1586920752.475,0,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 adb959e1 e3be59e1 ... 00000000 00000000 }",3780755171,3780753837,41,3
11555,1586920798.4326081,1586921461.0934682,1586920769.227,3710,0,45452,143,1,"{length = 40, bytes = 0x03000000 01003100 b5d55fe1 e91e62e1 ... 33000000 04000000 }",3781304041,3781154229,4572,3
11556,1586921806.8726082,1586922365.8137703,1586921777.667,15903,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 801f52e3 78495ae3 ... 00000000 00000000 }",3814345080,3813810048,16330,3
11557,1586921823.3716078,1586922365.82023,1586921794.166,8161,0,45452,132,1,"{length = 40, bytes = 0x03000000 01000000 8a875de3 1a8962e3 ... 17000000 00000000 }",3814885658,3814557578,10013,3
11558,1586922009.2126079,1586922365.8274271,1586921980.007,0,0,45452,0,0,"{length = 40, bytes = 0x03000000 008d3516 716dbfe3 4672bfe3 ... 00000000 00000000 }",3820974662,3820973425,38,3
11559,1586922026.702608,1586922365.8326101,1586921997.497,2614,0,45452,9,1,"{length = 40, bytes = 0x03000000 01000000 a095c6e3 bf30c8e3 ... 00000000 00000000 }",3821547711,3821442464,3212,3
11560,1586922084.362608,1586922365.8332531,1586922055.157,4569,0,45452,12,0,"{length = 40, bytes = 0x03000000 009beaa5 af9fe2e3 7804e5e3 ... 00000000 00000000 }",3823436920,3823280047,4788,3
11561,1586922095.158608,1586922365.834227,1586922065.953,1691,0,45452,37,1,"{length = 40, bytes = 0x03000000 017e0a00 4b5ee9e3 326aeae3 ... 25000000 00000000 }",3823790642,3823722059,2093,3
11562,1586922364.9636078,1586922365.839159,1586922335.758,2328,0,45452,12,0,"{length = 40, bytes = 0x03000000 00f8ffff 680c70e4 814d71e4 ... 00000000 00000000 }",3832630657,3832548456,2509,3
11563,1586922381.0416079,1586922863.13942,1586922351.836,9934,0,45452,87,1,"{length = 40, bytes = 0x03000000 01030100 c72c73e4 435779e4 ... 25000000 00000000 }",3833157443,3832753351,12333,3
11564,1586922820.645608,1586922863.162362,1586922791.44,1081,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 4b8154e5 911e55e5 ... 00000000 00000000 }",3847560849,3847520587,1229,3
11565,1586922836.8976078,1586922863.1687412,1586922807.692,2112,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 de095ce5 983e5de5 ... 00000000 00000000 }",3848093336,3848014302,2412,3
