Z_PK,Z_ENT,Z_OPT,ZCHANNEL,ZRSSI,ZFINGERPRINT,ZAGE,ZDATE,ZMAC
23160,22,1,1,-86,561,0.019,608321300.796382,7a:8a:20:b1:c7:35
23161,22,1,1,-68,561,6.008,608321294.807423,a8:bd:27:c9:8e:24
23162,22,1,149,-78,561,7.854,608321295.736503,a8:bd:27:8f:dc:f0
23163,22,1,3,-78,561,2.692,608321300.898495,ec:8:6b:bf:40:94
23164,22,1,6,-69,561,8.314,608321295.277307,34:fc:b9:32:d:e2
23165,22,1,5,-72,561,8.407,608321295.18429,50:c7:bf:6f:50:59
23166,22,1,8,-78,561,9.422,608321294.168499,12:da:43:90:f2:a0
23167,22,1,149,-88,561,7.754,608321295.836446,3c:28:6d:6b:7f:f3
23168,22,1,11,-79,561,2.353,608321301.237474,10:da:43:eb:1f:54
23169,22,1,2,-67,561,2.721,608321300.8703151,78:d2:94:8:c5:49
23170,22,1,11,-78,561,2.327,608321301.263491,92:32:4b:a:32:d8
23171,22,1,2,-90,561,30.087,608321273.503437,9c:3d:cf:21:28:a0
23172,22,1,6,-75,561,2.54,608321301.051282,34:fc:b9:32:d:e4
23173,22,1,40,-90,561,8.177,608321295.413428,70:77:81:dd:dd:a2
23174,22,1,11,-69,561,7.286,608321296.305311,70:77:81:dd:dd:a1
23175,22,1,149,-76,561,7.812,608321295.779274,a8:bd:27:c9:8e:33
23176,22,1,11,-80,561,8.972,608321294.618467,80:2a:a8:44:bd:c3
23177,22,1,149,-77,561,7.812,608321295.778507,a8:bd:27:c9:8e:30
23178,22,1,6,-79,561,2.53,608321301.060483,60:31:97:5:30:b8
23179,22,1,11,-77,561,2.358,608321301.2332679,d0:bf:9c:c2:29:f7
23180,22,1,11,-78,561,30.206,608321273.384487,82:2a:a8:44:bd:c3
23181,22,1,8,-74,561,9.22,608321294.3712859,10:da:43:90:f2:9f
23182,22,1,36,-86,561,2.056,608321301.53445,a0:64:8f:e1:65:f8
23183,22,1,6,-71,561,2.502,608321301.089298,18:60:24:3e:82:8d
23184,22,1,4,-71,561,8.514,608321295.0773029,50:6a:3:c9:e0:8a
23185,22,1,5,-81,561,8.352,608321295.238462,a0:64:8f:e1:65:f7
23186,22,1,11,-79,561,8.937,608321294.653479,60:31:97:2:c5:78
23187,22,1,153,-72,561,7.726,608321295.8652941,8:bd:43:d3:18:23
23188,22,1,3,-82,561,8.526,608321295.064458,dc:ef:9:e1:18:24
23189,22,1,11,-76,561,7.295,608321296.296278,50:6a:3:aa:7a:a3
23190,22,1,36,-89,561,2.065,608321301.5254419,8a:8a:20:b2:c7:35
23191,22,1,6,-80,561,9.459,608321294.13147,60:31:97:4:5c:d0
23192,22,1,6,-86,561,2.534,608321301.056454,c4:65:16:4f:5e:e1
