Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
426,16002,,1.0,2,15.0,3,607806832.817893,,,,,
427,16002,,1.0,2,42.0,3,607807637.909851,,,,,
428,16002,,16.0,2,19.0,3,607807637.952478,,,,,
429,16002,,16.0,2,10.0,3,607807637.959173,,,,,
430,16002,,9.0,2,10.0,3,607807637.979778,,,,,
431,16002,,16.0,2,10.0,3,607807638.041148,,,,,
432,16002,,16.0,2,10.0,3,607807642.608443,,,,,
433,16002,,16.0,2,10.0,3,607807642.888821,,,,,
434,16002,,16.0,2,10.0,3,607807642.905992,,,,,
435,16002,,16.0,2,19.0,3,607877817.060285,,,,,
436,16002,,16.0,2,19.0,3,607877817.294056,,,,,
437,16002,,1.0,2,29.0,3,607878157.965199,,,,,
438,16002,,1.0,2,29.0,3,607878158.335695,,,,,
439,16002,,28.0,2,29.0,3,607878758.834715,,,,,
440,16002,,28.0,2,29.0,3,607878909.272136,,,,,
441,16002,,28.0,2,29.0,3,607878909.634917,,,,,
442,16002,,28.0,2,29.0,3,607878918.375748,,,,,
443,16002,,28.0,2,29.0,3,607878918.412052,,,,,
444,16002,,28.0,2,29.0,3,607878919.120039,,,,,
445,16002,,28.0,2,29.0,3,607878919.225546,,,,,
446,16002,,28.0,2,29.0,3,607878919.304572,,,,,
447,16002,,28.0,2,29.0,3,607878932.496346,,,,,
448,16002,,28.0,2,29.0,3,607878932.750945,,,,,
449,16002,,1.0,2,29.0,3,607878932.922651,,,,,
