ID,timestamp,timestampLogged,BBDate,ConnStates_0,ConnStates_1,ConnStates_2,LogDuration,SeqNum
26183,1586997757.863665,1586997758.072261,1586997726.665,8190267,0,0,8190267.0,16
26184,1586997757.8666651,1586998433.003391,1586997726.668,88,0,0,88.0,17
26185,1586997817.900665,1586998433.019629,1586997786.702,1967013,0,0,1967013.0,39
26186,1586997817.906665,1586998433.0275311,1586997786.708,184,0,0,184.0,40
26187,1586998113.512665,1586998433.038786,1586998082.314,9685370,0,0,9685370.0,82
26188,1586998113.5146651,1586998433.0426471,1586998082.316,87,0,0,87.0,83
26189,1586998308.5166652,1586998433.0488892,1586998277.318,6389154,0,0,6389154.0,101
26190,1586998308.5206652,1586998433.052401,1586998277.322,102,0,0,102.0,102
26191,1586998401.9346652,1586998433.056748,1586998370.736,3060668,0,0,3060668.0,113
26192,1586998401.9406652,1586998433.0591161,1586998370.742,206,0,0,206.0,114
26193,1586998432.663665,1586999120.5783143,1586998401.465,1006618,0,0,1006618.0,115
26194,1586998492.0496652,1586999120.5930853,1586998460.851,1945582,0,0,1945582.0,117
26195,1586998492.054665,1586999120.597239,1586998460.856,170,0,0,170.0,118
26196,1586998527.0896652,1586999120.6040263,1586998495.891,1147891,0,0,1147891.0,119
26197,1586998527.094665,1586999120.6113071,1586998495.896,172,0,0,172.0,120
26198,1586998947.1396651,1586999120.6349883,1586998915.941,13762548,0,0,13762548.0,210
26199,1586999091.956665,1586999120.6489131,1586999060.758,4744858,0,0,4744858.0,243
26200,1586999091.9616652,1586999120.6547303,1586999060.763,181,0,0,181.0,244
26201,1586999120.2246652,1586999447.2612772,1586999089.026,926008,0,0,926008.0,0
26202,1586999164.2706652,1586999447.2807431,1586999133.072,1443005,0,0,1443005.0,2
26203,1586999164.274665,1586999447.291832,1586999133.076,119,0,0,119.0,3
26204,1586999212.909665,1586999447.2987561,1586999181.711,1593520,0,0,1593520.0,15
26205,1586999212.9216652,1586999447.305411,1586999181.723,394,0,0,394.0,16
26206,1586999323.5146651,1586999447.3123083,1586999292.316,3623522,0,0,3623522.0,18
26207,1586999323.5176651,1586999447.317522,1586999292.319,98,0,0,98.0,19
26208,1586999412.8156652,1586999447.3218193,1586999381.617,2925803,0,0,2925803.0,32
26209,1586999412.8266652,1586999447.3248801,1586999381.628,361,0,0,361.0,33
26210,1586999446.9126651,1586999813.361021,1586999415.714,1116822,0,0,1116822.0,34
26211,1586999463.7246652,1586999813.3672771,1586999432.526,550489,0,0,550489.0,36
26212,1586999552.765665,1586999813.370316,1586999521.567,2917387,0,0,2917387.0,39
26213,1586999649.972665,1586999813.388082,1586999618.774,3184929,0,0,3184929.0,56
26214,1586999649.9766653,1586999813.3923051,1586999618.778,143,0,0,143.0,57
26215,1586999678.0626652,1586999813.3957062,1586999646.864,920239,0,0,920239.0,69
26216,1586999678.067665,1586999813.3986661,1586999646.869,170,0,0,170.0,70
26217,1586999738.127665,1586999813.401812,1586999706.929,1967830,0,0,1967830.0,74
26218,1586999738.136665,1586999813.404397,1586999706.938,282,0,0,282.0,75
26219,1587000361.423665,1587000711.0952842,1587000330.225,151208,0,0,151208.0,7
26220,1587000384.0336652,1587000711.0996242,1587000352.835,740811,0,0,740811.0,8
26221,1587000384.0396652,1587000711.1117973,1587000352.841,178,0,0,178.0,9
26222,1587000638.0836651,1587000711.1288311,1587000606.885,8323640,0,0,8323640.0,17
26223,1587000638.0936651,1587000711.1331553,1587000606.895,329,0,0,329.0,18
26224,1587000655.716665,1587000711.137485,1587000624.518,577428,0,0,577428.0,31
26225,1587000655.7266653,1587000711.1426191,1587000624.528,309,0,0,309.0,32
26226,1587000698.0956652,1587000711.1453342,1587000666.897,1388200,0,0,1388200.0,35
26227,1587000698.1016653,1587000711.148013,1587000666.903,180,0,0,180.0,36
26228,1587000710.7136652,1587001093.3383932,1587000679.515,413240,0,0,413240.0,37
26229,1587000754.8916652,1587001093.3595934,1587000723.693,1447341,0,0,1447341.0,39
26230,1587000754.896665,1587001093.3670883,1587000723.698,166,0,0,166.0,40
26231,1587000839.7346652,1587001093.37574,1587000808.536,2779679,0,0,2779679.0,78
26232,1587000839.738665,1587001093.3795853,1587000808.54,112,0,0,112.0,79
26233,1587001017.6886652,1587001093.3867931,1587000986.49,5830468,0,0,5830468.0,90
26234,1587001017.702665,1587001093.3905373,1587000986.504,446,0,0,446.0,91
26235,1587001028.607665,1587001093.396974,1587000997.409,357320,0,0,357320.0,92
26236,1587001028.613665,1587001093.40314,1587000997.415,173,0,0,173.0,93
26237,1587001092.9506652,1587001845.133358,1587001061.752,2107990,0,0,2107990.0,99
26238,1587001248.660665,1587001845.153893,1587001217.462,5101575,0,0,5101575.0,118
26239,1587001248.6656651,1587001845.1601062,1587001217.467,160,0,0,160.0,119
26240,1587001597.899665,1587001845.166551,1587001566.701,11442462,0,0,11442462.0,141
26241,1587001597.9116652,1587001845.169425,1587001566.713,417,0,0,417.0,142
26242,1587001637.8666651,1587001845.1810002,1587001606.668,1309103,0,0,1309103.0,145
26243,1587001637.8746653,1587001845.1845071,1587001606.676,242,0,0,242.0,146
26244,1587001658.051665,1587001845.189054,1587001626.853,661112,0,0,661112.0,148
26245,1587001658.0556653,1587001845.191401,1587001626.857,114,0,0,114.0,149
26246,1587001844.8986652,1587002558.512425,1587001813.7,6121839,0,0,6121839.0,165
26247,1587001962.933665,1587002558.520412,1587001931.735,3867225,0,0,3867225.0,186
26248,1587001962.9386652,1587002558.5232062,1587001931.74,162,0,0,162.0,187
26249,1587002134.5666652,1587002558.528511,1587002103.368,5623330,0,0,5623330.0,188
26250,1587002134.571665,1587002558.5322142,1587002103.373,161,0,0,161.0,189
26251,1587002384.0966651,1587002558.538094,1587002352.898,8175562,0,0,8175562.0,199
26252,1587002384.100665,1587002558.5404952,1587002352.902,113,0,0,113.0,200
26253,1587002537.903665,1587002558.54953,1587002506.705,5039287,0,0,5039287.0,228
26254,1587002537.9086652,1587002558.5519261,1587002506.71,164,0,0,164.0,229
26255,1587002558.0866652,1587003275.2384052,1587002526.888,661134,0,0,661134.0,231
26256,1587002588.817665,1587003275.242661,1587002557.619,1006552,0,0,1006552.0,245
26257,1587002588.8206651,1587003275.246716,1587002557.622,102,0,0,102.0,246
26258,1587002618.0326653,1587003275.2498412,1587002586.834,957133,0,0,957133.0,1
26259,1587002618.0376651,1587003275.255556,1587002586.839,159,0,0,159.0,2
26260,1587002739.949665,1587003275.2597442,1587002708.751,3994385,0,0,3994385.0,10
26261,1587002739.9546652,1587003275.2623482,1587002708.756,167,0,0,167.0,11
26262,1587003043.8716652,1587003275.2689571,1587003012.673,9957696,0,0,9957696.0,51
26263,1587003043.883665,1587003275.2742841,1587003012.685,362,0,0,362.0,52
26264,1587003274.9766653,1587003578.474795,1587003243.778,7571653,0,0,7571653.0,74
26265,1587003328.840665,1587003578.4884171,1587003297.642,1764759,0,0,1764759.0,88
26266,1587003328.8456652,1587003578.4918401,1587003297.647,158,0,0,158.0,89
26267,1587003404.186665,1587003578.5020971,1587003372.988,2468513,0,0,2468513.0,97
26268,1587003404.202665,1587003578.5066051,1587003373.004,520,0,0,520.0,98
26269,1587003453.531665,1587003578.5124702,1587003422.333,1616250,0,0,1616250.0,111
26270,1587003453.535665,1587003578.515531,1587003422.337,120,0,0,120.0,112
26271,1587003518.0866652,1587003578.5186372,1587003486.888,2114971,0,0,2114971.0,115
26272,1587003518.090665,1587003578.520967,1587003486.892,121,0,0,121.0,116
26273,1587003578.0266652,1587004354.281188,1587003546.828,1963811,0,0,1963811.0,130
26274,1587003885.9146652,1587004354.287044,1587003854.716,10087613,0,0,10087613.0,167
26275,1587003885.919665,1587004354.2906513,1587003854.721,172,0,0,172.0,168
26276,1587003944.8066652,1587004354.293374,1587003913.608,1929395,0,0,1929395.0,180
26277,1587003944.818665,1587004354.2970512,1587003913.62,422,0,0,422.0,181
26278,1587004214.808665,1587004354.3015912,1587004183.61,8846080,0,0,8846080.0,209
26279,1587004214.8226652,1587004354.3044152,1587004183.624,462,0,0,462.0,210
26280,1587004300.172665,1587004354.3090222,1587004268.974,2796425,0,0,2796425.0,221
26281,1587004300.1746652,1587004354.3136642,1587004268.976,89,0,0,89.0,222
26282,1587004353.8206651,1587004590.279158,1587004322.622,1757679,0,0,1757679.0,233
26283,1587004423.0696652,1587004590.287182,1587004391.871,2268756,0,0,2268756.0,236
26284,1587004423.0736651,1587004590.2943492,1587004391.875,115,0,0,115.0,237
26285,1587004433.557665,1587004590.2993803,1587004402.359,343504,0,0,343504.0,242
26286,1587004449.9766653,1587004590.3057702,1587004418.778,537964,0,0,537964.0,249
26287,1587004478.2146652,1587004590.3105602,1587004447.016,925196,0,0,925196.0,252
26288,1587004478.222665,1587004590.3156772,1587004447.024,276,0,0,276.0,253
