composer_pid,composer,sort_composer,grouping_key,cloud_status,representative_item_pid,keep_local,keep_local_status,sync_id
450407153202121929,Lenny Kravitz & Craig Ross,,b'@2DDZ\x04>L*T:P\\\x04\n\x90\x04.L*:6\x04LFNN',0,8877232900939931025,0,0,0
885817318217957576,"Kanye West, Jonathan H. Smith, W. Jaco & Curtis Mayfield",,b'>*DZ2\x04V2NP\x06\x04<FD*P8*D\x048\x08\x04NB:P8\x06\x04V\x08\x04<*.F\x04\n\x90\x04.RLP:N\x04B*Z4:2@0',0,8877232900939930962,0,0,0
1028173780065415865,"Sylvester Stewart, Noah Evans & Miles Kelly",,b'NZ@T2NP2L\x04NP2V*LP\x06\x04DF*8\x042T*DN\x04\n\x90\x04B:@2N\x04>2@@Z',0,6834521314832366802,0,0,0
1029662957674678354,"Anthony Kiedis, Brian Burton, Chad Smith, Flea & Josh Klinghoffer",,"b'*DP8FDZ\x04>:20:N\x06\x04,L:*D\x04,RLPFD\x06\x04.8*0\x04NB:P8\x06\x044@2*\x04\n\x90\x04<FN8\x04>@:D68F442L'",0,1359453492144287591,0,0,0
1101167115735081738,"Leor Dimant, Erik Schrody, Page Hamilton, Henry Bogdan & John Stainer, Jr.",,"b'@2FL\x040:B*DP\x06\x042L:>\x04N.8LF0Z\x06\x04H*62\x048*B:@PFD\x06\x0482DLZ\x04,F60*D\x04\n\x90\x04<F8D\x04NP*:D2L\x06\x04<L\x08'",0,8877232900939931051,0,0,0
1101908937896059111,Craig Mack,,b'.L*:6\x04B*.>',0,8877232900939931034,0,0,0
1102291258604280809,"D. Carter, K. West, K. Edmonds, R. Bailey, M. Kent, Kenneth Williams, Alicia Keys & H. Lily",,"b'0\x08\x04.*LP2L\x06\x04>\x08\x04V2NP\x06\x04>\x08\x0420BFD0N\x06\x04L\x08\x04,*:@2Z\x06\x04B\x08\x04>2DP\x06\x04>2DD2P8\x04V:@@:*BN\x06\x04*@:.:*\x04>2ZN\x04\n\x90\x048\x08\x04@:@Z'",0,8877232900939931041,0,0,0
1318662004648032895,"Andrew Stockdale, Myles Heskett & Chris Ross",,b'*D0L2V\x04NPF.>0*@2\x06\x04BZ@2N\x0482N>2PP\x04\n\x90\x04.8L:N\x04LFNN',0,8877232900939930985,0,0,0
1319124275791838472,"Amy Winehouse, Salaam Remi & Nasir Jones p/k/a NAS",,b'*BZ\x04V:D28FRN2\x06\x04N*@**B\x04L2B:\x04\n\x90\x04D*N:L\x04<FD2N\x04H\n\x8a>\n\x8a*\x04D*N',0,1605611714792925288,0,0,0
1387752974301008260,"Naughty By Nature, Anthony Criss, Ernie Isley, Kier Gist (Kaygee Gist), Marvin Isley, Ronald Isley, Rudolph Isley & Vincent Brown",,"b'D*R68PZ\x04,Z\x04D*PRL2\x06\x04*DP8FDZ\x04.L:NN\x06\x042LD:2\x04:N@2Z\x06\x04>:2L\x046:NP\x04\t\x8e>*Z622\x046:NP\t\x90\x06\x04B*LT:D\x04:N@2Z\x06\x04LFD*@0\x04:N@2Z\x06\x04LR0F@H8\x04:N@2Z\x04\n\x90\x04T:D.2DP\x04,LFVD'",0,8877232900939930952,0,0,0
1461089566037569329,"Robbie Williams, Guy Chambers, Leslie Bricusse & J Barry",,"b'LF,,:2\x04V:@@:*BN\x06\x046RZ\x04.8*B,2LN\x06\x04@2N@:2\x04,L:.RNN2\x04\n\x90\x04<\x04,*LLZ'",0,0,0,0,0
1461922631682505949,"Alvin Joiner, Jesse West & George Clinton",,b'*@T:D\x04<F:D2L\x06\x04<2NN2\x04V2NP\x04\n\x90\x0462FL62\x04.@:DPFD',0,8877232900939930982,0,0,0
1462542870573386351,"Adam Horovitz, Adam Yauch, Michael Diamond, Mark Nishita & Grandimperial",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04B*L>\x04D:N8:P*\x04\n\x90\x046L*D0:BH2L:*@',0,6834521314832366816,0,0,0
1532676548806170325,"A. Taylor, R. Mickens, R. Bell, G. Brown, Richard Westfield, B. Thomas, C. Smith, Hula, K. Fingers & Will Smith",,"b'*\x08\x04P*Z@FL\x06\x04L\x08\x04B:.>2DN\x06\x04L\x08\x04,2@@\x06\x046\x08\x04,LFVD\x06\x04L:.8*L0\x04V2NP4:2@0\x06\x04,\x08\x04P8FB*N\x06\x04.\x08\x04NB:P8\x06\x048R@*\x06\x04>\x08\x044:D62LN\x04\n\x90\x04V:@@\x04NB:P8'",0,8877232900939931066,0,0,0
1677678834103899714,"Adam Horovitz, Adam Yauch, Michael Diamond & Mark Nishita",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04B*L>\x04D:N8:P*',0,6834521314832366795,0,0,0
1748697778267354967,"Terius Nash, Christopher Stewart, Robyn Rihanna Fenty & Jay Jenkins",,"b'P2L:RN\x04D*N8\x06\x04.8L:NPFH82L\x04NP2V*LP\x06\x04LF,ZD\x04L:8*DD*\x0442DPZ\x04\n\x90\x04<*Z\x04<2D>:DN'",0,8877232900939931006,0,0,0
1822310631648724636,"Kanye West, Michael B. Sutton, Brad Jordan, Shawn Carter, Dwight Grant, Brenda Sutton, Tom Depierro & Brenda Turner",,"b'>*DZ2\x04V2NP\x06\x04B:.8*2@\x04,\x08\x04NRPPFD\x06\x04,L*0\x04<FL0*D\x06\x04N8*VD\x04.*LP2L\x06\x040V:68P\x046L*DP\x06\x04,L2D0*\x04NRPPFD\x06\x04PFB\x0402H:2LLF\x04\n\x90\x04,L2D0*\x04PRLD2L'",0,8877232900939931009,0,0,0
1966455904171611658,"Eddie Vedder, Matt Cameron, Stone Gossard & Mike McCready",,b'200:2\x04T2002L\x06\x04B*PP\x04.*B2LFD\x06\x04NPFD2\x046FNN*L0\x04\n\x90\x04B:>2\x04B..L2*0Z',0,8877232900939931059,0,0,0
2037120650296944117,Phil Hartnoll & Paul Hartnoll,,b'H8:@\x048*LPDF@@\x04\n\x90\x04H*R@\x048*LPDF@@',0,8877232900939931076,0,0,0
2037173955552374696,"Leslie Pridgen, Justin Smith, Shawn Carter, Dwight Grant & S. Scarborough",,"b'@2N@:2\x04HL:062D\x06\x04<RNP:D\x04NB:P8\x06\x04N8*VD\x04.*LP2L\x06\x040V:68P\x046L*DP\x04\n\x90\x04N\x08\x04N.*L,FLFR68'",0,8877232900939931044,0,0,0
