ID,timestamp,timestampLogged,BBDate,LogDuration,SeqNum,oosGsmPssiStatTicks_0,oosGsmPssiStatTicks_1,oosGsmPssiStatTicks_2,oosGsmPssiStatTicks_3,oosGsmPssiStatTicks_4,oosGsmPssiStatTicks_5,oosGsmPssiTimes_0,oosGsmPssiTimes_1,oosGsmPssiTimes_2,oosGsmPssiTimes_3,oosGsmPssiTimes_4,oosGsmPssiTimes_5,oosInProgress,oosLtePssiStatTicks_0,oosLtePssiStatTicks_1,oosLtePssiStatTicks_2,oosLtePssiStatTicks_3,oosLtePssiStatTicks_4,oosLtePssiStatTicks_5,oosLtePssiTimes_0,oosLtePssiTimes_1,oosLtePssiTimes_2,oosLtePssiTimes_3,oosLtePssiTimes_4,oosLtePssiTimes_5,oosTdsPssiStatTicks_0,oosTdsPssiStatTicks_1,oosTdsPssiStatTicks_2,oosTdsPssiStatTicks_3,oosTdsPssiStatTicks_4,oosTdsPssiStatTicks_5,oosTdsPssiTimes_0,oosTdsPssiTimes_1,oosTdsPssiTimes_2,oosTdsPssiTimes_3,oosTdsPssiTimes_4,oosTdsPssiTimes_5,oosTicks,oosTimes,oosWcdmaPssiStatTicks_0,oosWcdmaPssiStatTicks_1,oosWcdmaPssiStatTicks_2,oosWcdmaPssiStatTicks_3,oosWcdmaPssiStatTicks_4,oosWcdmaPssiStatTicks_5,oosWcdmaPssiTimes_0,oosWcdmaPssiTimes_1,oosWcdmaPssiTimes_2,oosWcdmaPssiTimes_3,oosWcdmaPssiTimes_4,oosWcdmaPssiTimes_5,pssiTicks
25368,1586917236.9126081,1586917740.9122972,1586917207.707,1214311.0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25369,1586917361.650608,1586917740.9185102,1586917332.445,4086676.0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25370,1586917361.656608,1586917740.925075,1586917332.451,58.0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25371,1586917393.847608,1586917740.9287841,1586917364.642,1054623.0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25372,1586917393.8586082,1586917740.934545,1586917364.653,199.0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25373,1586917597.8856082,1586917740.9394822,1586917568.68,6684721.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25374,1586917597.894608,1586917740.945537,1586917568.689,173.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25375,1586917726.678608,1586917740.956707,1586917697.473,4219492.0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25376,1586917726.6816082,1586917740.9603782,1586917697.476,32.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
25377,1586917740.637608,1586918343.374124,1586917711.432,457153.0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
