ID,timestamp,activeBand,airplaneMode,callStatus,campedRat,currentRat,dataStatus,preferredRat,signalBars,signalStrength,simStatus,subsId
44803,1586844956.980374,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44804,1586844956.9869852,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44805,1586844973.7964993,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44806,1586845017.0891461,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44807,1586845017.1177042,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44808,1586845028.95788,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44809,1586845049.257903,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44810,1586845049.2845993,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44811,1586845060.4057932,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44812,1586845300.3529363,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44813,1586845300.376763,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44814,1586845316.4378562,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44815,1586845321.860148,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44816,1586845884.276055,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44817,1586845884.3285923,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44818,1586845896.985186,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44819,1586845917.0568151,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44820,1586845917.087423,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44821,1586845935.30132,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44822,1586845977.121613,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44823,1586845977.137705,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44824,1586845989.075555,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44825,1586846142.181612,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44826,1586846142.1828492,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44827,1586846145.205286,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44828,1586846251.437426,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44829,1586846251.445707,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44830,1586846260.445096,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44831,1586846325.54354,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44832,1586846325.566116,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44833,1586846336.0895731,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44834,1586846393.2561822,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44835,1586846393.2851791,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44836,1586846401.0304332,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44837,1586846702.5130134,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44838,1586846702.519236,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44839,1586846718.5122921,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44840,1586846877.0076551,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44841,1586846877.0091631,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44842,1586846877.0936751,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44843,1586846892.9073431,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44844,1586846893.854509,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44845,1586846936.900841,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44846,1586846936.929832,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44847,1586846948.778954,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44848,1586847148.7937393,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44849,1586847148.796391,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44850,1586847159.217431,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44851,1586847345.792185,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44852,1586847345.821139,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44853,1586847358.9561162,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44854,1586847753.626687,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44855,1586847753.6276712,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44856,1586847773.0394583,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44857,1586847837.038809,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44858,1586847837.064253,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44859,1586847853.9056282,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44860,1586847896.8594022,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44861,1586847896.9018831,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44862,1586847911.714643,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44863,1586847938.3679612,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44864,1586847938.3855014,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44865,1586847949.0208821,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44866,1586848365.9347243,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44867,1586848365.9505773,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44868,1586848376.5867662,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44869,1586848537.0888233,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44870,1586848537.122939,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44871,1586848540.2358122,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44872,1586848558.3010893,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44873,1586848558.3323262,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44874,1586848582.374535,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44875,1586848636.4881983,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44876,1586848636.5303042,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44877,1586848644.301217,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44878,1586848797.02727,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44879,1586848797.064861,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44880,1586848816.622023,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44881,1586848856.9344969,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44882,1586848856.981277,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44883,1586848868.826295,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44884,1586848986.6307611,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44885,1586848986.6657062,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44886,1586849000.509339,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44887,1586849380.9893072,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44888,1586849381.0227962,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44889,1586849391.4523983,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44890,1586849757.064147,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44891,1586849757.0955262,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44892,1586849757.175208,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44893,1586849772.841407,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44894,1586849773.940525,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44895,1586849817.1578312,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44896,1586849817.208291,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44897,1586849831.711553,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44898,1586850137.318154,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44899,1586850137.320675,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44900,1586850150.110632,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44901,1586850263.397587,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44902,1586850263.438077,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44903,1586850278.506611,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44904,1586850326.976087,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44905,1586850327.007486,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44906,1586850342.2166412,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44907,1586850397.950222,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44908,1586850398.0000842,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44909,1586850400.8148813,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44910,1586850411.476283,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44911,1586850532.140461,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44912,1586850532.146686,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44913,1586850552.365748,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44914,1586850714.3257391,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44915,1586850714.3387203,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44916,1586850714.424088,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44917,1586850724.851798,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44918,1586850733.9297652,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44919,1586850777.2149942,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44920,1586850777.2666974,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44921,1586850789.0658712,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44922,1586851051.5230732,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44923,1586851051.5442972,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44924,1586851064.952449,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44925,1586851426.590517,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44926,1586851426.591703,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44927,1586851437.136552,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44928,1586851677.0225363,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
